date,text,username,cleaned_text,sentiment,topic,summary
2026-05-01 07:05:29+00:00,И кайта код айтасн,693512505,и кайта код айтасн,Neutral,Код,—
2026-05-01 07:05:15+00:00,Шапик тг дағы сессия кетіріп тасташ,693512505,шапик тг дағы сессия кетіріп тасташ,Neutral,Сессия,—
2026-05-01 07:26:20+00:00,Ертең сабаққа барасың ба или пропустим па,693512505,ертең сабаққа барасың ба или пропустим па,Neutral,Сабақ,—
2026-05-01 07:26:09+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Negative,Сабақ,—
2026-05-01 07:19:23+00:00,"Университет өмірі қызық, бірақ кейде өте қиын болып кетеді.",693512505,университет өмірі қызық бірақ кейде өте қиын болып кетеді,Neutral,Университет,—
2026-05-01 07:19:17+00:00,"Практикалық сабақта жаңа бағдарлама үйрендік, біраз қиын екен",693512505,практикалық сабақта жаңа бағдарлама үйрендік біраз қиын екен,Negative,Бағдарлама,—
2026-05-01 07:19:11+00:00,"Кімде өткен лекцияның конспектісі бар, бөлісіп жібере аласыз ба?",693512505,кімде өткен лекцияның конспектісі бар бөлісіп жібере аласыз ба,Neutral,Лекция,—
2026-05-01 07:19:03+00:00,Университеттің асханасында бүгін тамақ өте дәмді болды,693512505,университеттің асханасында бүгін тамақ өте дәмді болды,Positive,Тамақ,—
2026-05-01 07:18:55+00:00,"Сессия жақындап қалды, емтиханға дайындықты бастау керек.",693512505,сессия жақындап қалды емтиханға дайындықты бастау керек,Neutral,Белгісіз,—
2026-05-01 07:18:47+00:00,"Профессор бүгін өте қызықты дәріс өткізді, көп нәрсе үйрендік.",693512505,профессор бүгін өте қызықты дәріс өткізді көп нәрсе үйрендік,Neutral,Белгісіз,—
2026-05-01 07:18:40+00:00,"Біздің топ жобасын қашан тапсырамыз, нақты дедлайн бар ма?",693512505,біздің топ жобасын қашан тапсырамыз нақты дедлайн бар ма,Neutral,Мерзім,—
2026-05-01 07:18:33+00:00,"Кітапханада бос орын аз, ертерек келсеңдер жақсы болады.",693512505,кітапханада бос орын аз ертерек келсеңдер жақсы болады,Neutral,Кітапхана,—
2026-05-01 07:18:25+00:00,"Ертеңгі лекцияға дайындалып келуді ұмытпаңдар, маңызды тақырып өтеміз.",693512505,ертеңгі лекцияға дайындалып келуді ұмытпаңдар маңызды тақырып өтеміз,Neutral,Дәріс,—
2026-05-01 07:18:17+00:00,"Бүгін университетте жаңа семестр басталды, бәрімізге сәттілік",693512505,бүгін университетте жаңа семестр басталды бәрімізге сәттілік,Positive,Семестр,—
2026-05-01 07:05:29+00:00,И кайта код айтасн,693512505,и кайта код айтасн,Neutral,Код,—
2026-05-01 07:05:15+00:00,Шапик тг дағы сессия кетіріп тасташ,693512505,шапик тг дағы сессия кетіріп тасташ,Negative,Сессия,—
2026-05-01 06:51:58+00:00,Кто ты войн,5516814865,кто ты войн,Neutral,Жауынгер,—
2026-05-01 06:49:13+00:00,Асхана тамактары өте дәмді,693512505,асхана тамактары өте дәмді,Positive,Асхана,—
2026-05-01 06:48:46+00:00,Типо: универде жатахана состояниясы қалай?,693512505,типо универде жатахана состояниясы қалай,Neutral,Жатахана,—
2026-05-01 06:48:03+00:00,Накидайте собщ от несколько приложений,693512505,накидайте собщ от несколько приложений,Neutral,Хабарлама,—
2026-05-01 08:16:22+00:00,Ертең сабаққа барасың ба или пропустим па,693512505,ертең сабаққа барасың ба или пропустим па,Neutral,Сабақ,—
2026-05-01 08:18:49+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Negative,Тапсырма,—
2026-05-04 18:32:37+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Neutral,Белгісіз,—
2026-05-04 18:32:37+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Negative,Сабақ,—
2026-05-04 18:34:50+00:00,Ертең сабаққа барасың ба или пропустим па,693512505,ертең сабаққа барасың ба или пропустим па,Neutral,Сабақ,—
2026-05-04 18:32:37+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Negative,Оқу,—
2026-05-04 18:34:50+00:00,Ертең сабаққа барасың ба или пропустим па,693512505,ертең сабаққа барасың ба или пропустим па,Neutral,Сабақ,—
2026-05-04 18:32:37+00:00,"Бүгін универде пара норм өтті, бірақ тапсырма көп екен вообще",693512505,бүгін универде пара норм өтті бірақ тапсырма көп екен вообще,Negative,Сабақ,—
2026-05-04 18:34:50+00:00,Ертең сабаққа барасың ба или пропустим па,693512505,ертең сабаққа барасың ба или пропустим па,Neutral,Сабақ,—
